Unnamed: 0,trans_date,cc_num,merchant,category,amount,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,email
0,2/1/2019 10:00,4412836995056268,Zomato,entertainment,286.33,Rahul,Kumar,M,123 Main Street,Bangalore,KA,560001,12.9716,77.5946,11540446,Analyst,1/1/1998,TX50000001,1549015200,13.005953831717715,77.68781851952637,0,560001,bhavya@email.com
1,2/1/2019 10:10,4069322119404372,Uber,entertainment,3530.29,Riya,Gupta,F,123 Main Street,Bangalore,KA,560001,12.9716,77.5946,12842433,Analyst,1/1/1998,TX50000002,1549015800,13.426696808646767,77.59233809317321,0,560001,bhavya@email.com
2,2/1/2019 10:20,4029194647764917,Flipkart,food_dining,2536.86,Karan,Singh,M,123 Main Street,Mumbai,MH,400001,19.076,72.8777,17602251,Analyst,1/1/1998,TX50000003,1549016400,18.89352815300446,72.84631072478007,0,400001,bhavya@email.com
3,2/1/2019 10:30,4391841278390682,Target,misc_net,4961.86,Riya,Gupta,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,3534307,Student,1/1/1998,TX50000004,1549017000,28.52600335807528,77.15131936094791,0,110001,bhavya@email.com
4,2/1/2019 10:40,4374643571939281,Flipkart,shopping_net,3695.45,Rahul,Sharma,F,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,14772707,Software Engineer,1/1/1998,TX50000005,1549017600,17.434079482276392,78.22431603208051,0,500001,bhavya@email.com
5,2/1/2019 10:50,4544875301256598,Swiggy,gas_transport,3817.01,Ananya,Singh,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,19104948,Analyst,1/1/1998,TX50000006,1549018200,28.81684904055026,76.92796619543802,0,110001,bhavya@email.com
6,2/1/2019 11:00,4676619137298626,Uber,shopping_pos,1747.46,Ananya,Gupta,M,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,14771511,Analyst,1/1/1998,TX50000007,1549018800,16.987205625910526,78.33488520730299,0,500001,bhavya@email.com
7,2/1/2019 11:10,4228907962821195,Flipkart,shopping_pos,4184.85,Bhavya,Verma,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,10851203,Teacher,1/1/1998,TX50000008,1549019400,28.444673250712196,77.68299559597547,0,110001,bhavya@email.com
8,2/1/2019 11:20,4760574997486242,fraud_Unknown,misc_net,733.74,Rahul,Kumar,M,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,6337955,Analyst,1/1/1998,TX50000009,1549020000,17.704155643207628,78.85708543511659,0,500001,bhavya@email.com
9,2/1/2019 11:30,4209040399052380,Uber,grocery_pos,227.52,Aryan,Kumar,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,746672,Student,1/1/1998,TX50000010,1549020600,28.302476235499736,76.70935222018859,0,110001,bhavya@email.com
10,2/1/2019 11:40,4988836159289546,Zomato,gas_transport,640.77,Aryan,Gupta,F,123 Main Street,Pune,MH,411001,18.5204,73.8567,6103447,Teacher,1/1/1998,TX50000011,1549021200,18.50034684410502,73.99772439642538,0,411001,bhavya@email.com
11,2/1/2019 11:50,4969136705777506,Uber,shopping_pos,650.08,Aryan,Singh,M,123 Main Street,Bangalore,KA,560001,12.9716,77.5946,18474349,Software Engineer,1/1/1998,TX50000012,1549021800,12.668987420466303,78.03276644168754,0,560001,bhavya@email.com
