Unnamed: 0,created_at,cc_num,merchant,category,amount,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,status,merch_zipcode,email
0,2/10/2019 12:00,4718043141429590,fraud_Unknown,misc_net,14584.06,Rahul,Kumar,F,123 Main Street,Mumbai,MH,400001,19.076,72.8777,14806311,Teacher,1/1/1998,TXSUSP0001,1549800000,33.919943183544625,85.87849616226099,1,400001,bhavya@email.com
1,2/10/2019 12:07,4422005596597959,fraud_Unknown,shopping_net,14749.66,Bhavya,Kumar,F,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,12080765,Analyst,1/1/1998,TXSUSP0002,1549800420,29.55637771419068,91.43444730663494,1,500001,bhavya@email.com
2,2/10/2019 12:14,4662143836815169,fraud_Unknown,entertainment,16387.67,Rahul,Verma,F,123 Main Street,Pune,MH,411001,18.5204,73.8567,2051379,Analyst,1/1/1998,TXSUSP0003,1549800840,30.26909915031371,88.01826889574856,1,411001,bhavya@email.com
3,2/10/2019 12:21,4126488228823611,fraud_Unknown,misc_net,15895.63,Rahul,Kumar,M,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,4888357,Software Engineer,1/1/1998,TXSUSP0004,1549801260,29.041607749147076,84.00960795416621,1,500001,bhavya@email.com
4,2/10/2019 12:28,4868663732602478,fraud_Unknown,shopping_net,22409.72,Bhavya,Gupta,M,123 Main Street,Mumbai,MH,400001,19.076,72.8777,1521523,Analyst,1/1/1998,TXSUSP0005,1549801680,27.781716238141897,83.76760575788627,1,400001,bhavya@email.com
5,2/10/2019 12:35,4470789288258872,fraud_Unknown,entertainment,20884.73,Karan,Singh,F,123 Main Street,Hyderabad,TS,500001,17.385,78.4867,6709920,Student,1/1/1998,TXSUSP0006,1549802100,30.24422476372701,84.32652532530197,1,500001,bhavya@email.com
6,2/10/2019 12:42,4821299422923146,fraud_Unknown,shopping_net,17781.19,Bhavya,Kumar,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,8373877,Analyst,1/1/1998,TXSUSP0007,1549802520,34.83546230661664,89.13430555957717,1,110001,bhavya@email.com
7,2/10/2019 12:49,4303527213935743,fraud_Unknown,shopping_net,17943.39,Karan,Sharma,M,123 Main Street,Bangalore,KA,560001,12.9716,77.5946,6109237,Software Engineer,1/1/1998,TXSUSP0008,1549802940,27.94630565968528,87.2206217788162,1,560001,bhavya@email.com
8,2/10/2019 12:56,4751563915504177,fraud_Unknown,shopping_net,24275.47,Riya,Verma,F,123 Main Street,Pune,MH,411001,18.5204,73.8567,9081839,Software Engineer,1/1/1998,TXSUSP0009,1549803360,24.763946630872297,85.14291100598862,1,411001,bhavya@email.com
9,2/10/2019 13:03,4619298881528110,fraud_Unknown,shopping_net,20941.18,Riya,Singh,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,8106058,Software Engineer,1/1/1998,TXSUSP0010,1549803780,42.14147557152843,86.84261603858756,1,110001,bhavya@email.com
10,2/10/2019 13:10,4890923176279875,fraud_Unknown,entertainment,7831.62,Riya,Singh,F,123 Main Street,Pune,MH,411001,18.5204,73.8567,1099077,Analyst,1/1/1998,TXSUSP0011,1549804200,32.45587271344544,84.85239777419201,1,411001,bhavya@email.com
11,2/10/2019 13:17,4755303965449157,fraud_Unknown,entertainment,7176.29,Karan,Gupta,M,123 Main Street,Delhi,DL,110001,28.6139,77.209,7923942,Analyst,1/1/1998,TXSUSP0012,1549804620,40.75909432365867,88.65881202880068,1,110001,bhavya@email.com
12,2/10/2019 13:24,4808982396749832,fraud_Unknown,shopping_net,7541.2,Bhavya,Verma,F,123 Main Street,Mumbai,MH,400001,19.076,72.8777,13154597,Teacher,1/1/1998,TXSUSP0013,1549805040,33.219041251514305,87.63464327689793,1,400001,bhavya@email.com
13,2/10/2019 13:31,4650465263356853,fraud_Unknown,misc_net,12780,Karan,Kumar,F,123 Main Street,Delhi,DL,110001,28.6139,77.209,6148886,Student,1/1/1998,TXSUSP0014,1549805460,35.230837601848066,89.48875916743985,1,110001,bhavya@email.com
14,2/10/2019 13:38,4503058610618788,fraud_Unknown,entertainment,8401.09,Rahul,Verma,M,123 Main Street,Pune,MH,411001,18.5204,73.8567,1684652,Student,1/1/1998,TXSUSP0015,1549805880,29.33271848778144,79.13501316849434,1,411001,bhavya@email.com
15,2/10/2019 13:45,4611118204690059,fraud_Unknown,shopping_net,7182.5,Bhavya,Verma,F,123 Main Street,Mumbai,MH,400001,19.076,72.8777,7248200,Analyst,1/1/1998,TXSUSP0016,1549806300,25.501190916542022,82.71994459290183,1,400001,bhavya@email.com
16,2/10/2019 13:52,4652695206736968,fraud_Unknown,shopping_net,16987.82,Rahul,Gupta,F,123 Main Street,Mumbai,MH,400001,19.076,72.8777,12309371,Analyst,1/1/1998,TXSUSP0017,1549806720,30.08692200489328,86.62958969270883,1,400001,bhavya@email.com
17,2/10/2019 13:59,4694439355329683,fraud_Unknown,entertainment,13300.13,Riya,Kumar,M,123 Main Street,Mumbai,MH,400001,19.076,72.8777,1118889,Analyst,1/1/1998,TXSUSP0018,1549807140,32.93169019347994,85.69364089549022,1,400001,bhavya@email.com
18,2/10/2019 14:06,4901630714367956,fraud_Unknown,misc_net,15228.05,Rahul,Sharma,M,123 Main Street,Mumbai,MH,400001,19.076,72.8777,14255549,Student,1/1/1998,TXSUSP0019,1549807560,32.356036161198695,86.47165954741305,1,400001,bhavya@email.com
19,2/10/2019 14:13,4250117748107581,fraud_Unknown,misc_net,13684.88,Aryan,Verma,M,123 Main Street,Pune,MH,411001,18.5204,73.8567,10366071,Software Engineer,1/1/1998,TXSUSP0020,1549807980,23.991350390940738,84.32452437691553,1,411001,bhavya@email.com
